flops,loss,accuracy
31850496,0.7176675424575806,0.486
65036160,0.7021534419059754,0.497
98221824,0.7059613265991211,0.522
131407488,0.7044986095428467,0.478
164593152,0.6981545939445496,0.483
197778816,0.7031617431640625,0.497
230964480,0.7002486553192139,0.511
264150144,0.7013603210449219,0.499
297335808,0.6976778683662415,0.502
330521472,0.7042528829574585,0.479
363707136,0.6971708817481994,0.513
396892800,0.6937868061065674,0.511
430078464,0.6987751159667969,0.454
463264128,0.6983455715179443,0.506
496449792,0.6925464735031128,0.494
529635456,0.6961873426437378,0.502
562821120,0.6979768047332764,0.49
596006784,0.6926926636695862,0.475
629192448,0.6951761245727539,0.503
662378112,0.6997768964767456,0.49
695563776,0.7005872826576233,0.508
728749440,0.6941732082366944,0.491
761935104,0.6995124669075012,0.518
795120768,0.6950617685317994,0.493
828306432,0.69653701877594,0.494
861492096,0.6946653590202332,0.497
894677760,0.6918782424926758,0.51
927863424,0.6947868452072143,0.516
961049088,0.6957116475105286,0.507
994234752,0.6919371333122254,0.506
1027420416,0.6955875411033631,0.515
1060606080,0.6933349423408508,0.504
1093791744,0.6898603897094726,0.498
1126977408,0.6941279268264771,0.507
1160163072,0.694430435180664,0.512
1193348736,0.6938459696769714,0.506
1226534400,0.6958887271881103,0.495
1259720064,0.6952147722244263,0.504
1292905728,0.6952457609176635,0.499
1326091392,0.697912528038025,0.521
1359277056,0.6949381685256958,0.521
1392462720,0.6943964290618897,0.462
1425648384,0.6950156812667847,0.49
1458834048,0.6920917706489563,0.507
1492019712,0.6885903635025025,0.48
1525205376,0.6971975574493409,0.488
1558391040,0.6924196271896362,0.492
1591576704,0.6950582971572876,0.507
1624762368,0.6968797740936279,0.491
1657948032,0.6901055221557617,0.521
1691133696,0.6949718885421753,0.492
1724319360,0.6942274141311645,0.495
1757505024,0.6940770740509034,0.49
1790690688,0.6936798758506775,0.511
1823876352,0.6949223508834839,0.507
1857062016,0.6939279084205627,0.462
1890247680,0.693099181175232,0.492
1923433344,0.6921378841400146,0.514
1956619008,0.6951135778427124,0.53
1989804672,0.6953647494316101,0.506
2022990336,0.6942294540405274,0.492
2056176000,0.690749903678894,0.515
2089361664,0.6937972002029419,0.519
2122547328,0.694487678527832,0.495
2155732992,0.6889021072387695,0.516
2188918656,0.6930113067626953,0.496
2222104320,0.6929797759056091,0.511
2255289984,0.6943320059776306,0.519
2288475648,0.6941476883888245,0.484
2321661312,0.6929682435989379,0.479
2354846976,0.6904628987312317,0.495
2388032640,0.6918495197296143,0.465
2421218304,0.6896927275657654,0.505
2454403968,0.6952786746025086,0.496
2487589632,0.6944533095359803,0.49
2520775296,0.6904137639999389,0.493
2553960960,0.692937780380249,0.502
2587146624,0.6929823522567748,0.523
2620332288,0.691192862033844,0.493
2653517952,0.6924774580001831,0.488
2686703616,0.6939213252067566,0.515
2719889280,0.6930472922325134,0.5
2753074944,0.6928561825752259,0.501
2786260608,0.6942010445594787,0.497
2819446272,0.6953194818496704,0.505
2852631936,0.6956540355682373,0.508
2885817600,0.693076961517334,0.492
2919003264,0.6974581799507141,0.476
2952188928,0.6940023488998414,0.486
2985374592,0.6918450326919555,0.494
3018560256,0.6953403272628784,0.475
3051745920,0.6908537359237671,0.468
3084931584,0.6937889351844787,0.527
3118117248,0.6965955457687378,0.518
3151302912,0.693372802734375,0.491
3184488576,0.6953747863769532,0.495
3217674240,0.6935127553939819,0.513
3250859904,0.6944454555511475,0.487
3284045568,0.6914641885757447,0.491
3317231232,0.6923338012695313,0.486
3350416896,0.6928630437850952,0.499
3383602560,0.6908768882751465,0.498
3416788224,0.693728669166565,0.524
3449973888,0.6933945941925049,0.464
3483159552,0.6927026872634887,0.485
3516345216,0.6936747722625732,0.495
3549530880,0.6909665546417236,0.479
3582716544,0.6908232889175415,0.505
3615902208,0.6920287199020386,0.507
3649087872,0.6940860466957093,0.502
3682273536,0.6911591696739197,0.501
3715459200,0.6929151153564453,0.495
3748644864,0.6943039674758911,0.5
3781830528,0.687555730342865,0.475
3815016192,0.69236154794693,0.509
3848201856,0.6911446752548218,0.495
3881387520,0.6928999009132385,0.49
3914573184,0.6927257490158081,0.494
3947758848,0.6906242632865905,0.482
3980944512,0.690363395690918,0.507
4014130176,0.692293170928955,0.485
4047315840,0.6894277577400207,0.48
4080501504,0.6881256380081177,0.49
4113687168,0.6904042596817017,0.49
