task_0_flops,task_0_accuracy
33185664,0.57
66371328,0.48
99556992,0.46
132742656,0.52
165928320,0.51
199113984,0.52
232299648,0.53
265485312,0.59
298670976,0.45
331856640,0.54
365042304,0.46
398227968,0.53
431413632,0.49
464599296,0.51
497784960,0.45
530970624,0.51
564156288,0.51
597341952,0.48
630527616,0.58
663713280,0.5
696898944,0.53
730084608,0.51
763270272,0.43
796455936,0.51
829641600,0.5
862827264,0.6
896012928,0.54
929198592,0.52
962384256,0.5
995569920,0.46
1028755584,0.53
1061941248,0.44
1095126912,0.51
1128312576,0.53
1161498240,0.48
1194683904,0.52
1227869568,0.55
1261055232,0.52
1294240896,0.46
1327426560,0.39
1360612224,0.55
1393797888,0.45
1426983552,0.58
1460169216,0.52
1493354880,0.54
1526540544,0.44
1559726208,0.52
1592911872,0.56
1626097536,0.48
1659283200,0.43
1692468864,0.49
1725654528,0.59
1758840192,0.47
1792025856,0.47
1825211520,0.56
1858397184,0.54
1891582848,0.53
1924768512,0.48
1957954176,0.45
1991139840,0.47
2024325504,0.46
2057511168,0.48
2090696832,0.53
2123882496,0.49
2157068160,0.46
2190253824,0.44
2223439488,0.48
2256625152,0.41
2289810816,0.52
2322996480,0.62
2356182144,0.45
2389367808,0.51
2422553472,0.46
2455739136,0.5
2488924800,0.45
2522110464,0.47
2555296128,0.51
2588481792,0.44
2621667456,0.56
2654853120,0.56
2688038784,0.62
2721224448,0.53
2754410112,0.52
2787595776,0.47
2820781440,0.51
2853967104,0.43
2887152768,0.52
2920338432,0.54
2953524096,0.53
2986709760,0.48
3019895424,0.55
3053081088,0.47
3086266752,0.46
3119452416,0.43
3152638080,0.47
3185823744,0.52
3219009408,0.45
3252195072,0.47
3285380736,0.54
3318566400,0.56
3351752064,0.49
3384937728,0.54
3418123392,0.5
3451309056,0.55
3484494720,0.55
3517680384,0.5
3550866048,0.55
3584051712,0.52
3617237376,0.46
3650423040,0.48
3683608704,0.58
3716794368,0.49
3749980032,0.47
3783165696,0.48
3816351360,0.45
3849537024,0.49
3882722688,0.45
3915908352,0.51
3949094016,0.47
3982279680,0.49
4015465344,0.5
4048651008,0.43
4081836672,0.49
4115022336,0.45
4148208000,0.47
4181393664,0.48
4214579328,0.51
4247764992,0.51
4280950656,0.51
4314136320,0.52
4347321984,0.44
4380507648,0.55
